Rank,Hand,Type,Win
1,AA,pair,31
2,KK,pair,26
3,QQ,pair,22
4,AK,suited,20.2
5,JJ,pair,19.1
6,AQ,suited,18.7
7,KQ,suited,18.1
8,AJ,suited,17.5
9,KJ,suited,17.1
10,TT,pair,16.8
11,AK,not,16.7
12,AT,suited,16.6
13,QJ,suited,16.6
14,KT,suited,16.1
15,QT,suited,15.8
16,JT,suited,15.8
17,99,pair,15.3
18,AQ,not,14.9
19,A9,suited,14.6
20,KQ,not,14.4
21,88,pair,14.2
22,K9,suited,14.2
23,T9,suited,14.1
24,A8,suited,13.9
25,Q9,suited,13.8
26,J9,suited,13.8
27,AJ,not,13.5
28,A5,suited,13.4
29,77,pair,13.4
30,A7,suited,13.4
31,KJ,not,13.2
32,A4,suited,13.2
33,A3,suited,13.1
34,A6,suited,13
35,QJ,not,12.9
36,66,pair,12.8
37,K8,suited,12.8
38,T8,suited,12.7
39,A2,suited,12.7
40,98,suited,12.6
41,J8,suited,12.5
42,AT,not,12.4
43,Q8,suited,12.4
44,K7,suited,12.2
45,KT,not,12.2
46,55,pair,12.2
47,JT,not,12.1
48,87,suited,12
49,QT,not,12
50,44,pair,11.9
51,33,pair,11.9
52,22,pair,11.9
53,K6,suited,11.8
54,97,suited,11.7
55,K5,suited,11.6
56,76,suited,11.5
57,T7,suited,11.5
58,K4,suited,11.4
59,K3,suited,11.3
60,K2,suited,11.3
61,Q7,suited,11.2
62,86,suited,11.2
63,65,suited,11.1
64,J7,suited,11.1
65,54,suited,10.9
66,Q6,suited,10.9
67,75,suited,10.7
68,96,suited,10.7
69,Q5,suited,10.6
70,64,suited,10.4
71,Q4,suited,10.4
72,Q3,suited,10.4
73,T9,not,10.4
74,T6,suited,10.3
75,Q2,suited,10.3
76,A9,not,10.2
77,53,suited,10.2
78,85,suited,10.1
79,J6,suited,10.1
80,J9,not,10
81,K9,not,9.9
82,J5,suited,9.9
83,Q9,not,9.8
84,43,suited,9.8
85,74,suited,9.7
86,J4,suited,9.7
87,J3,suited,9.6
88,95,suited,9.6
89,J2,suited,9.5
90,63,suited,9.5
91,A8,not,9.4
92,52,suited,9.3
93,T5,suited,9.2
94,84,suited,9.1
95,T4,suited,9.1
96,T3,suited,9.1
97,42,suited,9
98,T2,suited,9
99,98,not,9
100,T8,not,8.9
101,A5,not,8.9
102,A7,not,8.8
103,73,suited,8.8
104,A4,not,8.7
105,32,suited,8.7
106,94,suited,8.7
107,93,suited,8.5
108,J8,not,8.5
109,A3,not,8.5
110,62,suited,8.5
111,92,suited,8.5
112,K8,not,8.5
113,A6,not,8.4
114,87,not,8.4
115,Q8,not,8.3
116,83,suited,8.2
117,A2,not,8.2
118,82,suited,8.1
119,97,not,8
120,72,suited,7.9
121,76,not,7.9
122,K7,not,7.9
123,65,not,7.6
124,T7,not,7.5
125,K6,not,7.5
126,86,not,7.4
127,54,not,7.4
128,K5,not,7.1
129,J7,not,7.1
130,75,not,7
131,Q7,not,7
132,K4,not,7
133,K3,not,6.9
134,96,not,6.8
135,K2,not,6.8
136,64,not,6.8
137,Q6,not,6.6
138,53,not,6.6
139,85,not,6.3
140,T6,not,6.3
141,Q5,not,6.3
142,43,not,6.2
143,Q4,not,6.1
144,Q3,not,6.1
145,74,not,6
146,Q2,not,6
147,J6,not,5.9
148,63,not,5.7
149,J5,not,5.6
150,95,not,5.6
151,52,not,5.6
152,J4,not,5.5
153,J3,not,5.4
154,42,not,5.4
155,J2,not,5.3
156,84,not,5
157,T5,not,5
158,T4,not,5
159,32,not,5
160,T3,not,4.9
161,73,not,4.9
162,T2,not,4.7
163,62,not,4.7
164,94,not,4.5
165,93,not,4.5
166,92,not,4.5
167,83,not,4.3
168,82,not,4.2
169,72,not,4
